PreviousMean,WeekDayMean,Actual
0.0,5.0,40
0.0,7.5,20
0.0,10.0,0
0.0,12.5,20
0.0,0.0,0
0.0,5.0,30
0.0,0.0,20
0.0,12.5,20
0.0,5.0,20
0.0,7.5,50
0.0,0.0,20
0.0,5.0,0
0.0,5.0,20
0.0,5.0,30
0.0,0.0,0
0.0,42.5,100
0.0,75.0,210
0.0,55.0,300
0.0,12.5,40
0.0,7.5,20
0.0,5.0,0
0.0,0.0,20
0.0,5.0,20
0.0,17.5,20
0.0,82.5,170
0.0,72.5,280
0.0,7.5,30
0.0,5.0,30
0.0,0.0,0
0.0,5.0,30
0.0,7.5,20
0.0,35.0,50
0.0,60.0,230
0.0,80.0,240
0.0,12.5,20
0.0,0.0,20
0.0,5.0,40
0.0,0.0,0
0.0,12.5,20
0.0,0.0,30
0.0,5.0,0
0.0,0.0,40
0.0,5.0,0
0.0,0.0,50
0.0,5.0,50
0.0,7.5,20
0.0,7.5,0
0.0,7.5,0
